area,isector,account_entry,transaction,instr_asset,ref_date,period,value,unit,unit_mult,prices,ref_year_price,activity,consolidation,note
"CZ","S1","C","P1","_Z","_Z","2018","1010286","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","1044577","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","1012699","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","1093947","CZK","6","L","2015","G","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","378790","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","390074","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","391342","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","394695","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","422851","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","440451","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","450515","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","439149","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","444633","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","464163","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","497195","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","489545","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","534772","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","542350","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","543233","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","590050","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","649728","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","653115","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","594721","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","608734","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","593482","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","584064","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","579717","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","591843","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","634816","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","656662","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","690629","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","736155","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","751106","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","673968","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","759469","CZK","6","L","2015","H","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","111602","CZK","6","L","2015","I","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","141448","CZK","6","L","2015","I","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","156988","CZK","6","L","2015","I","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","174205","CZK","6","L","2015","I","N","P.1c"
